Datetime,Rolling_8hr_O3_NW,Rolling_8hr_O3_NE,Rolling_8hr_O3_SW,Rolling_8hr_O3_SE
2021-01-02 00:00:00-07:00,32.636047,30.11268,34.142357,31.701336
2021-01-03 00:00:00-07:00,44.51,42.76153,44.391888,43.341362
2021-01-04 00:00:00-07:00,41.949974,41.358707,42.02466,42.371643
2021-01-05 00:00:00-07:00,38.735638,36.782387,38.705624,37.884865
2021-01-06 00:00:00-07:00,30.747778,28.226362,30.642641,27.545738
2021-01-07 00:00:00-07:00,28.260033,25.695938,27.684177,24.426212
2021-01-08 00:00:00-07:00,31.258875,29.34477,30.414654,28.088266
2021-01-09 00:00:00-07:00,32.514122,28.484005,32.040413,29.655167
2021-01-10 00:00:00-07:00,35.341164,30.224838,34.73972,29.220123
2021-01-11 00:00:00-07:00,37.7861,32.93084,36.81152,30.430103
2021-01-12 00:00:00-07:00,36.02916,34.725166,35.958866,35.890026
2021-01-13 00:00:00-07:00,45.932407,43.677513,46.04016,44.475388
2021-01-14 00:00:00-07:00,40.614372,35.83096,40.049896,36.34488
2021-01-15 00:00:00-07:00,33.392403,27.504482,34.27736,27.3127
2021-01-16 00:00:00-07:00,33.547573,28.899899,33.177715,27.812925
2021-01-17 00:00:00-07:00,32.77527,27.448095,31.44662,26.966309
2021-01-18 00:00:00-07:00,35.51057,32.532024,36.360657,35.125965
2021-01-19 00:00:00-07:00,34.397842,28.667273,33.24872,28.90638
2021-01-20 00:00:00-07:00,30.646427,26.637955,29.06269,24.988708
2021-01-21 00:00:00-07:00,32.444847,27.563297,31.918396,26.180803
2021-01-22 00:00:00-07:00,36.86773,33.694763,35.82201,31.561543
2021-01-23 00:00:00-07:00,43.1735,40.710804,42.3732,39.08434
2021-01-24 00:00:00-07:00,40.216156,37.288853,39.214176,36.89645
2021-01-25 00:00:00-07:00,42.044357,39.52292,41.39928,38.339985
2021-01-26 00:00:00-07:00,38.54292,37.31971,39.770336,39.51201
2021-01-27 00:00:00-07:00,42.824257,40.285477,43.32954,43.295197
2021-01-28 00:00:00-07:00,44.376415,41.31761,44.49122,44.836674
2021-01-29 00:00:00-07:00,42.19747,41.78369,42.50395,43.139027
2021-01-30 00:00:00-07:00,40.295036,39.841675,40.533844,40.119015
2021-01-31 00:00:00-07:00,37.523445,34.336845,37.29387,34.420074
2021-02-01 00:00:00-07:00,35.027683,30.022516,35.116924,28.180655
2021-02-02 00:00:00-07:00,36.479427,37.07457,39.13988,41.14281
2021-02-03 00:00:00-07:00,43.49101,41.66686,43.468033,42.481297
2021-02-04 00:00:00-07:00,42.001003,41.8462,42.580673,42.575985
2021-02-05 00:00:00-07:00,45.733963,44.80703,46.338074,45.54726
2021-02-06 00:00:00-07:00,48.988934,48.513893,49.171295,48.733814
2021-02-07 00:00:00-07:00,52.069252,51.483803,52.63904,52.307293
2021-02-08 00:00:00-07:00,52.818302,50.66351,53.62661,52.732185
2021-02-09 00:00:00-07:00,45.174026,40.40837,47.650997,44.224823
2021-02-10 00:00:00-07:00,56.03716,54.626522,56.90475,55.716545
2021-02-11 00:00:00-07:00,54.47781,53.106537,55.059784,54.516537
2021-02-12 00:00:00-07:00,38.68768,36.31602,38.249725,36.881035
2021-02-13 00:00:00-07:00,34.80947,31.769182,33.595688,28.681732
2021-02-14 00:00:00-07:00,35.803757,35.114887,36.670914,37.37327
2021-02-15 00:00:00-07:00,38.970474,38.685257,39.363205,39.54898
2021-02-16 00:00:00-07:00,37.235645,36.788555,37.54992,38.169075
2021-02-17 00:00:00-07:00,36.384327,35.17158,36.75565,37.02289
2021-02-18 00:00:00-07:00,41.248543,41.916176,42.216442,42.670162
2021-02-19 00:00:00-07:00,46.258,44.445232,46.140484,45.005024
2021-02-20 00:00:00-07:00,43.775814,40.172592,44.54384,42.11471
2021-02-21 00:00:00-07:00,43.83216,43.917725,44.133324,44.23481
2021-02-22 00:00:00-07:00,46.171387,46.09763,46.415955,46.06444
2021-02-23 00:00:00-07:00,53.699623,52.640133,53.821075,53.042152
2021-02-24 00:00:00-07:00,42.285645,40.754276,43.113853,41.13184
2021-02-25 00:00:00-07:00,52.10991,51.12504,52.559467,51.41872
2021-02-26 00:00:00-07:00,47.38098,46.417255,47.442024,46.643852
2021-02-27 00:00:00-07:00,50.540226,47.350735,51.28233,50.645977
2021-02-28 00:00:00-07:00,43.413326,41.464325,43.71438,43.792606
2021-03-01 00:00:00-07:00,39.737217,37.038822,39.845825,37.323925
2021-03-02 00:00:00-07:00,34.940784,30.873737,35.21433,29.98863
2021-03-03 00:00:00-07:00,37.70003,37.555935,38.81961,35.89233
2021-03-04 00:00:00-07:00,41.647957,36.22011,44.96334,43.014652
2021-03-05 00:00:00-07:00,38.575947,37.139515,38.10031,37.239635
2021-03-06 00:00:00-07:00,50.25932,50.959393,50.91509,51.302864
2021-03-07 00:00:00-07:00,56.579453,55.367958,58.37162,58.12288
2021-03-08 00:00:00-07:00,52.656334,52.721436,52.128693,52.641243
2021-03-09 00:00:00-07:00,55.55655,54.43571,55.285564,54.01308
2021-03-10 00:00:00-07:00,52.237762,50.454506,52.403645,51.083794
2021-03-11 00:00:00-07:00,55.33389,53.041306,55.327667,52.775784
2021-03-12 00:00:00-07:00,57.57688,56.057514,58.02345,56.302834
2021-03-13 00:00:00-07:00,53.427326,51.027687,53.761086,52.98915
2021-03-14 00:00:00-07:00,51.90618,50.924816,52.225285,52.106956
2021-03-15 00:00:00-06:00,48.1783,46.32858,48.110397,46.53411
2021-03-16 00:00:00-06:00,49.662952,48.40635,49.54775,48.169434
2021-03-17 00:00:00-06:00,49.16591,48.217796,49.25797,49.470314
2021-03-18 00:00:00-06:00,54.05756,53.66377,53.974632,54.36839
2021-03-19 00:00:00-06:00,48.50875,47.586845,48.600388,48.219425
2021-03-20 00:00:00-06:00,52.040543,51.39402,52.086082,51.192856
2021-03-21 00:00:00-06:00,53.417503,52.94067,53.260487,52.76307
2021-03-22 00:00:00-06:00,51.791958,50.739037,51.779003,51.396793
2021-03-23 00:00:00-06:00,49.257114,47.53621,49.29962,47.056717
2021-03-24 00:00:00-06:00,51.071095,49.842995,50.691265,49.928844
2021-03-25 00:00:00-06:00,48.888954,46.963764,49.26651,47.76522
2021-03-26 00:00:00-06:00,48.1898,47.45294,48.224766,47.24617
2021-03-27 00:00:00-06:00,53.86196,53.268593,54.016804,53.396484
2021-03-28 00:00:00-06:00,55.953342,56.146736,56.296623,56.01556
2021-03-29 00:00:00-06:00,59.827038,59.544113,60.5103,60.06551
2021-03-30 00:00:00-06:00,56.725353,55.52181,56.867744,56.26349
2021-03-31 00:00:00-06:00,,,,
2021-04-01 00:00:00-06:00,60.61441,59.03473,61.03822,62.521027
2021-04-02 00:00:00-06:00,63.979057,63.85555,64.27238,64.2696
2021-04-03 00:00:00-06:00,66.351006,65.179375,66.70311,66.06407
2021-04-04 00:00:00-06:00,64.73836,63.002995,64.67562,63.291298
2021-04-05 00:00:00-06:00,54.89028,54.530025,54.909813,54.684837
2021-04-06 00:00:00-06:00,52.25678,51.26303,52.66841,51.64351
2021-04-07 00:00:00-06:00,56.678158,56.637283,56.844112,56.79371
2021-04-08 00:00:00-06:00,61.494297,61.258904,61.368767,61.00249
2021-04-09 00:00:00-06:00,62.666656,61.998234,62.95384,62.919945
2021-04-10 00:00:00-06:00,65.22346,65.00456,65.17781,64.9324
2021-04-11 00:00:00-06:00,59.987206,59.44807,60.924286,60.53809
2021-04-12 00:00:00-06:00,58.505344,57.578564,58.454727,58.011955
2021-04-13 00:00:00-06:00,53.8742,53.08714,53.65397,53.1492
2021-04-14 00:00:00-06:00,51.063747,49.676224,50.691124,49.75854
2021-04-15 00:00:00-06:00,48.669037,47.683163,48.42602,46.75275
2021-04-16 00:00:00-06:00,52.88218,52.39799,52.51207,51.67662
2021-04-17 00:00:00-06:00,53.55826,53.9894,54.48542,54.877014
2021-04-18 00:00:00-06:00,46.80918,46.14509,46.954735,46.60374
2021-04-19 00:00:00-06:00,49.339462,48.548386,49.229897,48.207954
2021-04-20 00:00:00-06:00,62.79905,62.01265,62.79415,61.570038
2021-04-21 00:00:00-06:00,62.900845,62.02453,63.160496,62.01541
2021-04-22 00:00:00-06:00,62.344337,62.396534,62.227493,62.50252
2021-04-23 00:00:00-06:00,54.01574,52.76415,53.996788,52.73537
2021-04-24 00:00:00-06:00,54.772,54.791477,54.763786,54.799896
2021-04-25 00:00:00-06:00,55.606716,55.168827,55.695045,55.3697
2021-04-26 00:00:00-06:00,46.52001,46.089718,46.783394,46.337765
2021-04-27 00:00:00-06:00,52.55163,52.513073,52.46237,52.03207
2021-04-28 00:00:00-06:00,50.35095,50.419693,50.253124,49.89534
2021-04-29 00:00:00-06:00,50.836147,50.766533,50.884476,50.870182
2021-04-30 00:00:00-06:00,53.094162,53.31926,53.286423,53.110706
2021-05-01 00:00:00-06:00,52.831184,52.780983,52.92123,52.789047
2021-05-02 00:00:00-06:00,55.396202,55.249737,55.51321,55.357407
2021-05-03 00:00:00-06:00,48.45947,46.910236,48.77577,47.36699
2021-05-04 00:00:00-06:00,51.98948,51.713524,52.18736,51.958237
2021-05-05 00:00:00-06:00,57.554058,57.988773,58.319168,58.895206
2021-05-06 00:00:00-06:00,69.19693,68.74639,69.153114,68.55394
2021-05-07 00:00:00-06:00,61.456226,61.121593,61.30649,60.72384
2021-05-08 00:00:00-06:00,54.217075,54.12396,54.171005,53.871033
2021-05-09 00:00:00-06:00,56.86731,56.77381,57.12126,56.91248
2021-05-10 00:00:00-06:00,52.65114,53.105312,52.475323,53.151894
2021-05-11 00:00:00-06:00,50.25184,49.44163,50.264137,49.537136
2021-05-12 00:00:00-06:00,51.050457,51.21575,51.465843,51.73651
2021-05-13 00:00:00-06:00,46.504433,46.531124,46.3938,46.3363
2021-05-14 00:00:00-06:00,45.31314,45.48394,45.146046,44.862476
2021-05-15 00:00:00-06:00,43.626316,43.56388,43.41138,43.251602
2021-05-16 00:00:00-06:00,57.22227,56.53769,57.679775,56.90436
2021-05-17 00:00:00-06:00,62.06493,61.901325,61.98609,61.592293
2021-05-18 00:00:00-06:00,46.83927,49.447956,47.436543,48.58756
2021-05-19 00:00:00-06:00,47.28595,47.03215,47.25849,47.049225
2021-05-20 00:00:00-06:00,45.282707,45.39585,45.495857,45.671608
2021-05-21 00:00:00-06:00,55.35627,54.646492,55.369667,55.29009
2021-05-22 00:00:00-06:00,69.944786,70.02935,69.892166,69.87155
2021-05-23 00:00:00-06:00,52.359154,52.21939,51.68838,50.883507
2021-05-24 00:00:00-06:00,41.073383,40.7583,40.83401,40.24737
2021-05-25 00:00:00-06:00,42.24331,41.332916,42.343616,41.661106
