Datetime,Rolling_8hr_O3_NW,Rolling_8hr_O3_NE,Rolling_8hr_O3_SW,Rolling_8hr_O3_SE
2021-01-02 17:00:00-07:00,28.537884,26.28852,28.50431,28.297344
2021-01-02 18:00:00-07:00,29.247816,27.787209,29.658817,28.975342
2021-01-02 19:00:00-07:00,30.254007,28.899672,30.913315,30.255322
2021-01-02 20:00:00-07:00,31.409733,29.822716,32.194725,31.474636
2021-01-02 21:00:00-07:00,32.283367,30.11268,33.29463,31.701336
2021-01-02 22:00:00-07:00,32.636047,29.668928,33.94482,31.215538
2021-01-02 23:00:00-07:00,32.27999,29.037704,34.142357,30.456638
2021-01-03 00:00:00-07:00,32.52624,29.111883,34.88668,31.41231
2021-01-03 01:00:00-07:00,33.67944,30.514233,36.13105,33.047405
2021-01-03 02:00:00-07:00,34.705288,31.787968,36.8445,33.939026
2021-01-03 03:00:00-07:00,35.501575,32.505234,37.397274,34.40193
2021-01-03 04:00:00-07:00,36.51743,33.52292,38.263916,35.17646
2021-01-03 05:00:00-07:00,37.830368,35.40425,39.36009,36.866314
2021-01-03 06:00:00-07:00,39.66597,37.862072,40.860584,39.46024
2021-01-03 07:00:00-07:00,42.20015,40.55692,42.78577,42.30745
2021-01-03 08:00:00-07:00,43.767704,42.34275,43.886356,43.295475
2021-01-03 09:00:00-07:00,44.120613,42.42114,44.11062,43.2852
2021-01-03 10:00:00-07:00,44.29256,42.441006,44.264458,43.324654
2021-01-03 11:00:00-07:00,44.51,42.68634,44.391888,43.341362
2021-01-03 12:00:00-07:00,44.36926,42.76153,44.175514,43.29997
2021-01-03 13:00:00-07:00,43.840668,42.61039,43.734337,43.333218
2021-01-03 14:00:00-07:00,43.101807,42.161922,43.03283,42.79827
2021-01-03 15:00:00-07:00,42.43287,41.703117,42.375122,42.258682
2021-01-03 16:00:00-07:00,41.877243,41.181797,41.809704,41.681747
2021-01-03 17:00:00-07:00,41.333786,40.81491,41.223396,41.182045
2021-01-03 18:00:00-07:00,40.101627,40.021008,39.97219,40.13334
2021-01-03 19:00:00-07:00,38.306885,38.551243,38.233097,38.474747
2021-01-03 20:00:00-07:00,36.239094,36.727966,36.20257,36.479862
2021-01-03 21:00:00-07:00,34.065044,34.44262,33.944153,33.955685
2021-01-03 22:00:00-07:00,31.873587,31.907423,31.630156,30.864695
2021-01-03 23:00:00-07:00,29.89559,29.485258,29.331068,27.710983
2021-01-04 00:00:00-07:00,28.137861,27.451996,27.325909,25.243391
2021-01-04 01:00:00-07:00,26.571848,25.440557,25.636023,22.842594
2021-01-04 02:00:00-07:00,25.61575,23.61028,24.548012,20.79637
2021-01-04 03:00:00-07:00,25.444815,22.213026,24.325026,19.232428
2021-01-04 04:00:00-07:00,25.884815,21.30893,24.845467,18.121023
2021-01-04 05:00:00-07:00,26.04368,20.15562,25.191305,16.904394
2021-01-04 06:00:00-07:00,25.363958,18.77629,24.286654,16.768627
2021-01-04 07:00:00-07:00,23.851637,18.181583,24.485624,19.610893
2021-01-04 08:00:00-07:00,25.04073,19.00206,25.986853,21.93134
2021-01-04 09:00:00-07:00,26.693026,20.409573,27.80719,24.227396
2021-01-04 10:00:00-07:00,28.575943,22.489395,29.834423,26.902517
2021-01-04 11:00:00-07:00,30.393066,24.90953,31.715965,30.014584
2021-01-04 12:00:00-07:00,31.945038,27.352566,33.255516,33.256165
2021-01-04 13:00:00-07:00,33.98339,30.685045,35.16466,37.02481
2021-01-04 14:00:00-07:00,37.123585,34.73341,38.62853,40.573936
2021-01-04 15:00:00-07:00,40.78331,37.88744,40.86437,41.012173
2021-01-04 16:00:00-07:00,41.415752,39.348938,41.450317,41.37366
2021-01-04 17:00:00-07:00,41.659355,40.27564,41.6888,41.80796
2021-01-04 18:00:00-07:00,41.92928,40.91094,41.96568,42.224636
2021-01-04 19:00:00-07:00,41.949974,41.358707,42.02466,42.371643
2021-01-04 20:00:00-07:00,41.488018,41.141613,41.62906,41.894928
2021-01-04 21:00:00-07:00,40.672493,40.113773,40.901814,40.92514
2021-01-04 22:00:00-07:00,40.09941,39.111816,40.404205,39.95443
2021-01-04 23:00:00-07:00,39.68101,38.42067,39.99784,39.31543
2021-01-05 00:00:00-07:00,38.735638,36.782387,38.705624,37.884865
2021-01-05 01:00:00-07:00,37.218693,35.05191,37.335888,36.570404
2021-01-05 02:00:00-07:00,35.752033,33.400314,35.914406,35.211273
2021-01-05 03:00:00-07:00,34.724636,32.2364,34.917763,34.182945
2021-01-05 04:00:00-07:00,34.368084,31.80618,34.546257,33.81566
2021-01-05 05:00:00-07:00,34.540222,32.20808,34.649246,34.05609
2021-01-05 06:00:00-07:00,34.541977,32.506863,34.60087,34.344685
2021-01-05 07:00:00-07:00,34.278355,32.21166,34.28973,34.070698
2021-01-05 08:00:00-07:00,33.89104,32.341236,34.14593,34.060284
2021-01-05 09:00:00-07:00,33.290695,32.08397,33.53354,33.983444
2021-01-05 10:00:00-07:00,32.478477,31.848112,33.16559,34.30522
2021-01-05 11:00:00-07:00,31.75068,31.402449,32.714214,34.36032
2021-01-05 12:00:00-07:00,31.386705,31.013638,32.225807,33.81638
2021-01-05 13:00:00-07:00,31.265583,30.91857,32.051495,33.465412
2021-01-05 14:00:00-07:00,31.149525,30.774502,31.83873,33.151436
2021-01-05 15:00:00-07:00,31.106297,30.909561,31.798834,33.16011
2021-01-05 16:00:00-07:00,31.847042,31.44268,32.5637,33.607864
2021-01-05 17:00:00-07:00,32.984463,31.927336,33.566383,33.583344
2021-01-05 18:00:00-07:00,33.716705,32.212635,33.832706,32.982132
2021-01-05 19:00:00-07:00,33.91864,32.23328,33.682858,32.332237
2021-01-05 20:00:00-07:00,33.631596,31.857653,33.459408,31.909634
2021-01-05 21:00:00-07:00,32.940166,30.91058,32.78363,30.930948
2021-01-05 22:00:00-07:00,32.132847,30.048164,32.048843,29.84004
2021-01-05 23:00:00-07:00,31.590103,29.188732,31.471655,28.784063
2021-01-06 00:00:00-07:00,30.747778,28.226362,30.642641,27.545738
2021-01-06 01:00:00-07:00,29.795158,27.421122,29.629509,26.400904
2021-01-06 02:00:00-07:00,29.540346,26.635431,29.312372,25.741074
2021-01-06 03:00:00-07:00,29.52372,25.97738,29.25726,25.081636
2021-01-06 04:00:00-07:00,29.587921,25.617218,29.257238,24.65406
2021-01-06 05:00:00-07:00,29.865427,25.575708,29.50166,24.552673
2021-01-06 06:00:00-07:00,30.231283,25.674856,29.852165,24.551945
2021-01-06 07:00:00-07:00,30.156961,25.43862,29.70583,23.802366
2021-01-06 08:00:00-07:00,30.137829,25.054167,29.462229,22.72789
2021-01-06 09:00:00-07:00,30.420298,24.331236,29.537766,21.666225
2021-01-06 10:00:00-07:00,30.1836,23.143179,29.05303,20.190304
2021-01-06 11:00:00-07:00,30.100525,22.161757,28.849243,18.875494
2021-01-06 12:00:00-07:00,29.769447,21.231808,28.50739,17.404266
2021-01-06 13:00:00-07:00,29.04454,20.235312,27.738781,16.249517
2021-01-06 14:00:00-07:00,28.260838,19.366825,26.855728,15.299321
2021-01-06 15:00:00-07:00,28.007418,19.219788,26.526299,15.541588
2021-01-06 16:00:00-07:00,27.917276,19.633694,26.460752,16.690037
2021-01-06 17:00:00-07:00,27.495861,20.860647,26.354511,18.441692
2021-01-06 18:00:00-07:00,27.13044,22.426514,26.143547,20.175985
2021-01-06 19:00:00-07:00,27.323776,23.704897,26.253654,21.658186
2021-01-06 20:00:00-07:00,27.726881,24.563059,26.408722,22.908314
2021-01-06 21:00:00-07:00,27.74978,24.859213,26.130722,23.288256
2021-01-06 22:00:00-07:00,27.6665,24.655481,25.881382,22.962574
2021-01-06 23:00:00-07:00,27.33626,23.706907,25.479168,21.746674
2021-01-07 00:00:00-07:00,27.018408,22.342646,25.10554,20.079847
2021-01-07 01:00:00-07:00,26.343588,20.286936,24.054863,17.981344
2021-01-07 02:00:00-07:00,26.217754,18.568165,24.105446,16.806646
2021-01-07 03:00:00-07:00,25.696724,17.474537,23.900566,16.486025
2021-01-07 04:00:00-07:00,25.726532,17.649456,23.930437,17.038733
2021-01-07 05:00:00-07:00,26.222486,18.335962,24.637932,18.028088
2021-01-07 06:00:00-07:00,27.21451,19.083935,25.978767,19.900652
2021-01-07 07:00:00-07:00,28.25082,19.831585,27.077213,21.949139
2021-01-07 08:00:00-07:00,28.260033,19.44141,27.684177,22.606186
2021-01-07 09:00:00-07:00,27.458853,18.741882,26.721962,21.466105
2021-01-07 10:00:00-07:00,25.92285,17.633661,24.30354,19.349865
2021-01-07 11:00:00-07:00,24.25923,16.405392,22.342838,16.96235
2021-01-07 12:00:00-07:00,22.412806,14.355484,20.718544,14.514842
2021-01-07 13:00:00-07:00,21.064852,12.344942,19.282148,12.072086
2021-01-07 14:00:00-07:00,19.417015,10.921801,17.038803,9.226265
2021-01-07 15:00:00-07:00,17.875097,10.633906,15.436515,7.8761683
2021-01-07 16:00:00-07:00,17.602234,11.988667,14.876643,8.680578
2021-01-07 17:00:00-07:00,18.819925,14.409803,16.784533,11.634199
2021-01-07 18:00:00-07:00,20.69222,17.16236,19.565298,14.885009
2021-01-07 19:00:00-07:00,22.779966,19.718706,21.940046,17.93055
2021-01-07 20:00:00-07:00,24.42889,22.04441,23.722929,20.448309
2021-01-07 21:00:00-07:00,25.381426,24.041895,24.988142,22.769308
2021-01-07 22:00:00-07:00,26.49223,25.46553,26.459736,24.426212
2021-01-07 23:00:00-07:00,27.562336,25.695938,27.202066,23.433817
2021-01-08 00:00:00-07:00,28.037064,25.407572,27.077337,21.6884
2021-01-08 01:00:00-07:00,27.844242,24.531635,26.542341,20.447174
2021-01-08 02:00:00-07:00,27.661753,23.548452,26.0312,19.175613
2021-01-08 03:00:00-07:00,27.447308,22.975618,25.601242,17.9375
2021-01-08 04:00:00-07:00,27.24556,22.77086,25.342018,17.345562
2021-01-08 05:00:00-07:00,27.43674,22.98332,25.471329,17.312086
2021-01-08 06:00:00-07:00,27.29818,23.06598,25.433887,17.854647
2021-01-08 07:00:00-07:00,27.27074,23.02539,25.788252,18.808268
2021-01-08 08:00:00-07:00,27.347113,23.323133,26.312195,19.47598
2021-01-08 09:00:00-07:00,27.911783,23.54779,26.430395,19.286568
2021-01-08 10:00:00-07:00,27.859201,23.663677,25.886936,19.113354
2021-01-08 11:00:00-07:00,27.70549,23.989786,25.480654,19.468748
2021-01-08 12:00:00-07:00,28.09673,24.027002,25.386726,19.113228
2021-01-08 13:00:00-07:00,28.53587,23.541395,25.486769,18.482092
2021-01-08 14:00:00-07:00,28.956055,23.487347,25.934027,18.566
2021-01-08 15:00:00-07:00,29.053593,24.387363,26.202723,19.790369
2021-01-08 16:00:00-07:00,29.412464,25.291185,26.643503,21.543856
2021-01-08 17:00:00-07:00,30.082119,26.647314,27.849705,23.587019
2021-01-08 18:00:00-07:00,30.902098,27.99049,29.414623,25.413746
2021-01-08 19:00:00-07:00,31.258875,28.446465,30.153393,26.476223
2021-01-08 20:00:00-07:00,31.108027,28.75554,30.414654,27.478247
2021-01-08 21:00:00-07:00,30.99381,29.180462,30.358452,28.088266
2021-01-08 22:00:00-07:00,30.89812,29.34477,29.80976,27.653492
2021-01-08 23:00:00-07:00,30.868965,28.897392,29.520973,26.776855
2021-01-09 00:00:00-07:00,30.861729,28.484005,29.72472,26.171066
2021-01-09 01:00:00-07:00,30.779938,27.926167,29.590403,25.874733
2021-01-09 02:00:00-07:00,30.728388,27.464508,29.557554,25.805529
2021-01-09 03:00:00-07:00,30.971504,27.220325,29.865236,25.885012
2021-01-09 04:00:00-07:00,31.346386,27.35144,30.290028,26.270388
2021-01-09 05:00:00-07:00,31.736645,27.803137,30.844902,27.004635
2021-01-09 06:00:00-07:00,32.276497,28.21716,31.63702,28.058945
2021-01-09 07:00:00-07:00,32.514122,28.1672,32.040413,29.219664
2021-01-09 08:00:00-07:00,32.185112,27.514355,31.621939,29.655167
2021-01-09 09:00:00-07:00,31.689386,26.681154,31.18433,29.04593
2021-01-09 10:00:00-07:00,30.789106,24.485714,30.380272,27.673534
2021-01-09 11:00:00-07:00,28.893068,21.951418,29.43884,25.73046
2021-01-09 12:00:00-07:00,27.364262,19.7454,28.37946,23.65878
2021-01-09 13:00:00-07:00,25.297562,17.395586,26.417141,21.082075
2021-01-09 14:00:00-07:00,22.526436,15.2520895,23.832048,18.48943
2021-01-09 15:00:00-07:00,19.965736,13.872067,21.310051,16.176802
2021-01-09 16:00:00-07:00,18.262016,13.297981,19.059881,14.3767395
2021-01-09 17:00:00-07:00,16.936373,13.19392,17.518227,13.493172
2021-01-09 18:00:00-07:00,16.328245,14.610317,16.638016,13.62232
2021-01-09 19:00:00-07:00,16.97549,16.383549,16.042774,14.379147
2021-01-09 20:00:00-07:00,17.05543,17.444607,15.608157,15.122971
2021-01-09 21:00:00-07:00,17.466305,18.362417,15.948576,16.164135
2021-01-09 22:00:00-07:00,18.327517,19.07822,16.80539,17.084644
2021-01-09 23:00:00-07:00,19.045908,19.268942,17.582275,17.51016
2021-01-10 00:00:00-07:00,19.163338,18.862185,18.175592,17.578365
2021-01-10 01:00:00-07:00,19.206472,18.216228,18.394724,17.386354
2021-01-10 02:00:00-07:00,19.517982,17.559216,18.795132,16.833858
2021-01-10 03:00:00-07:00,19.64812,16.896101,19.056282,16.1754
2021-01-10 04:00:00-07:00,20.422026,16.886034,19.886822,16.261133
2021-01-10 05:00:00-07:00,21.883999,17.45018,21.419096,16.948215
2021-01-10 06:00:00-07:00,23.681719,18.67495,23.353802,18.254484
2021-01-10 07:00:00-07:00,25.793093,20.412569,25.569027,20.217419
2021-01-10 08:00:00-07:00,28.155087,22.052952,27.83349,21.44362
2021-01-10 09:00:00-07:00,30.428513,23.666216,29.862148,21.695587
2021-01-10 10:00:00-07:00,32.493347,25.51027,31.750214,23.101204
2021-01-10 11:00:00-07:00,34.36821,27.60353,33.72063,25.209843
2021-01-10 12:00:00-07:00,35.320923,28.970238,34.73972,26.538385
2021-01-10 13:00:00-07:00,35.341164,29.653873,34.716557,27.067818
2021-01-10 14:00:00-07:00,34.97271,29.810534,34.24414,27.220276
2021-01-10 15:00:00-07:00,34.586765,29.98959,33.94096,27.267176
2021-01-10 16:00:00-07:00,33.97062,30.224838,33.527374,28.034227
2021-01-10 17:00:00-07:00,33.051617,30.167992,32.95616,29.220123
2021-01-10 18:00:00-07:00,31.927055,29.785578,31.90801,29.215927
2021-01-10 19:00:00-07:00,30.663973,28.966436,30.621702,28.394035
2021-01-10 20:00:00-07:00,29.300953,27.962103,29.147596,27.191584
2021-01-10 21:00:00-07:00,27.95816,26.87498,27.896648,26.149645
2021-01-10 22:00:00-07:00,26.403387,25.234037,26.420502,24.403875
2021-01-10 23:00:00-07:00,25.08899,23.822836,24.62229,22.592018
2021-01-11 00:00:00-07:00,24.843592,22.987867,23.993855,20.985231
2021-01-11 01:00:00-07:00,24.49171,22.0772,23.317823,19.476744
2021-01-11 02:00:00-07:00,24.172188,21.634407,22.990074,18.713415
2021-01-11 03:00:00-07:00,24.769325,22.174667,23.645094,19.208286
2021-01-11 04:00:00-07:00,26.56889,23.996002,25.535034,21.202848
