Datetime,Rolling_8hr_O3_NW,Rolling_8hr_O3_NE,Rolling_8hr_O3_SW,Rolling_8hr_O3_SE
2021-01-02 00:00:00-07:00,43.19649,43.690964,44.35657,42.23689
2021-01-03 00:00:00-07:00,45.350338,43.66382,45.916874,42.2825
2021-01-04 00:00:00-07:00,42.21186,41.108627,42.86625,41.840675
2021-01-05 00:00:00-07:00,41.85726,42.390953,42.297813,41.95852
2021-01-06 00:00:00-07:00,31.90594,40.80042,35.554882,41.514584
2021-01-07 00:00:00-07:00,36.389347,34.334743,38.74941,34.730537
2021-01-08 00:00:00-07:00,39.0482,41.936863,41.477615,40.824116
2021-01-09 00:00:00-07:00,40.17923,40.217304,40.701645,40.32838
2021-01-10 00:00:00-07:00,39.811043,42.396545,42.29138,43.20754
2021-01-11 00:00:00-07:00,40.394295,43.63113,42.522106,44.905518
2021-01-12 00:00:00-07:00,43.164265,44.59346,44.171856,43.860413
2021-01-13 00:00:00-07:00,45.95569,44.820183,45.725105,45.76196
2021-01-14 00:00:00-07:00,44.234127,45.050396,44.61307,44.97711
2021-01-15 00:00:00-07:00,43.929317,47.029198,45.744957,45.656914
2021-01-16 00:00:00-07:00,38.53884,43.211536,40.895767,43.543747
2021-01-17 00:00:00-07:00,41.771416,43.339436,42.321213,43.264233
2021-01-18 00:00:00-07:00,39.228443,39.695957,39.259094,39.126335
2021-01-19 00:00:00-07:00,38.372635,44.562023,43.12389,45.92285
2021-01-20 00:00:00-07:00,39.637512,44.862026,41.30124,45.879395
2021-01-21 00:00:00-07:00,32.089138,35.36311,30.442598,36.340343
2021-01-22 00:00:00-07:00,30.768902,35.170883,30.22491,35.261524
2021-01-23 00:00:00-07:00,41.487522,41.554745,41.079254,40.221878
2021-01-24 00:00:00-07:00,43.581142,43.239326,42.98998,42.39784
2021-01-25 00:00:00-07:00,40.28379,40.6106,40.033276,40.260494
2021-01-26 00:00:00-07:00,44.694378,45.113003,46.117462,44.746944
2021-01-27 00:00:00-07:00,45.094013,45.257015,45.946922,44.84684
2021-01-28 00:00:00-07:00,44.919468,45.131077,46.959183,44.69476
