AQSID,Latitude,Longitude,long_name
(blank line)
000090402,50.049200,-110.681400,Medicine Hat-Crescent Hts
000090502,49.716400,-112.800600,Lethbridge
000100060,49.095600,-117.697200,Trail Aquatic Centre
000100110,49.279400,-122.971100,Kensington Park
000100111,49.280830,-122.849170,Rocky Point Park
000100118,49.261670,-123.163330,Kitsilano
000100119,49.215280,-122.985560,Burnaby South
000100132,49.323891,-123.083611,Mahon Park
000100304,48.429200,-123.358300,Victoria Topaz
000100701,49.861100,-119.475000,Kelowna College
000101003,49.042780,-122.309720,Abbotsford
000101005,49.021506,-122.326556,Abbotsford Airport
000101101,49.156110,-121.940560,Chilliwack
000101301,49.095560,-122.566940,Langley
000101601,49.706400,-123.154400,Squamish
000101801,49.094400,-116.512500,Creston PC School
000102001,48.783300,-123.133300,Saturna
000102102,49.200800,-123.993900,Nanaimo Labieux Road
000102103,49.121700,-123.860000,Harmac Cedar Woodbank
000102302,49.887500,-124.558300,Powell River Wildwood
000102801,50.016700,-125.247200,Elk Falls Dogwood
000103302,49.490800,-117.295300,Nelson Kutenai Place
000104003,50.233300,-119.283300,Vernon Science Centre
000104101,49.031100,-118.439200,Grand Forks City Hall
000105001,50.143900,-122.961100,Whistler Meadow Park
000105301,49.441700,-123.491700,Langdale Elementary
000105604,49.000000,-119.462500,Osoyoos Canada Customs
060070002,39.757500,-121.842200,Chico - Manzanita
060070007,39.756400,-121.604400,Paradise - Airport
060070008,39.761610,-121.840480,0 DMS Chico -  East
060072001,39.753900,-121.624400,Paradise - Birch Street
060231004,40.776943,-124.177498,Jacobs
060231005,40.715279,-124.201393,Humboldt Hill
060631007,40.301899,-121.235001,Chester BAM
060639901,39.936900,-120.947800,Quincy BAM
060890004,40.549700,-122.379200,Redding
060890007,40.453100,-122.297800,Anderson
060890009,40.689400,-122.402400,Shasta Lake City
060893003,40.540300,-121.576400,Lassen Volcanic NP
061030005,40.175720,-122.237045,Red Bluff-Oak Street
061030006,40.167881,-122.226646,Red Bluff-Main Street
123456789,43.979,-121.687,Mt Bachelor non-AIRNow
160010010,43.600300,-116.347801,St. Lukes Meridian
160010017,43.577599,-116.178200,White Pine
160050015,42.876701,-112.460297,Pocatello Garrett and Gould
160090010,47.316700,-116.570297,St. Maries
160090011,47.338600,-116.885902,Plummer CDA Tribe
160130004,43.682556,-114.371094,Ketchum
160150001,43.823101,-115.838600,Idaho City
160150002,44.104401,-115.972198,Garden Valley
160170005,48.272202,-116.619400,Sandpoint USFS
160190011,43.468300,-112.053101,Idaho Falls - Penford
160230101,43.460602,-113.562202,Craters of the Moon NM
160270002,43.580299,-116.562798,Nampa Fire Station
160490002,45.931301,-116.115196,Grangeville
160490003,46.209400,-116.027496,Kamiah-ID
160550003,47.788900,-116.804400,Lancaster
160570005,46.728199,-116.954597,Moscow
160590004,45.178699,-113.892998,Salmon
160690012,46.408501,-116.991402,Lewiston
160690013,46.397202,-116.806198,Lapwai-ID
160690014,46.334900,-116.535797,Reubens-ID
160790017,47.536712,-116.236867,Pinehurst
160830010,42.563999,-114.446098,Twin Falls
160850002,44.899200,-116.093903,McCall
300298001,48.510300,-113.995600,Glacier NP
300490026,46.658800,-112.013100,ROSSITER Pump House
300530018,48.384100,-115.548000,Libby Courthouse
410010004,44.788200,-117.844597,Baker City - Forest Serv
410030013,44.588402,-123.263000,Corvallis - Circle Blvd
410090004,45.768600,-122.771896,Portland - Sauvie Island
410111036,43.381943,-124.263885,CTCLUSI Radar Hill-OR
410130100,44.299599,-120.844704,Prineville-Davidson Park
410170004,44.292099,-121.555496,Sisters Forest Service
410170120,44.063900,-121.312500,Bend - Pump Station
410190002,43.226639,-123.367203,Roseburg - Garden Valley
410230002,44.417999,-118.951302,John Day Dayton St
410250003,43.589298,-119.048302,Burns - Washington St.
410290019,42.623300,-122.810300,Shady Cove - School
410290133,42.314200,-122.879200,Medford-Grant and Belmont
410311034,44.763900,-121.269400,Warm Springs - OR
410330011,42.289722,-123.232498,Provolt - Seed Orchard
410330036,42.161701,-123.648399,Cave Junction Forest Service
410330114,42.434200,-123.348297,Grants Pass-Parkside Sch
410350004,42.190201,-121.731300,Klamath Falls-Peterson Sc
410370001,42.189400,-120.354027,Lakeview - Center and M
410390060,44.026400,-123.082200,Eugene - Amazon Park
410391007,43.832800,-123.035800,Saginaw - Delight Valley
410392013,43.744400,-122.480600,Oakridge-Willamette Cnter
410430009,44.615700,-123.091600,Albany - Calapooia School
410432002,44.395800,-122.729900,Sweet Home - Fire Dept
410470041,44.943100,-123.005913,Salem - State Hospital
410510080,45.496700,-122.602875,Portland - SE Lafayette
410590121,45.652199,-118.823242,Pendleton - McKay Creek
410610119,45.339031,-118.095200,La Grande - N. Ash Street
410630001,45.426308,-117.296700,Enterprise - USFS
