AQSID,Latitude,Longitude,long_name
File aqsid20180824.csv produced by Jen Hinds and Joe Vaughan, 08/24/2018 BACKUP as of 09/07/2018 JKV
000100060,49.095600,-117.697200,Trail Aquatic Centre
000100110,49.279400,-122.971100,Kensington Park
000100111,49.280830,-122.849170,Rocky Point Park
000100118,49.261670,-123.163330,Kitsilano
000100119,49.215280,-122.985560,Burnaby South
000100125,49.158330,-122.901670,North Delta
000100127,49.132780,-122.694170,Surrey East
000100128,49.141390,-123.108330,Richmond South
000100132,49.323891,-123.083611,Mahon Park
000100134,49.186390,-123.152220,Vancouver Airport
000100135,49.288060,-122.791390,Coquitlam
000100140,49.009869,-123.082017,Tsawwassen
000100304,48.429200,-123.358300,Victoria Topaz
000100308,48.432899,-123.492798,Colwood City Hall
000101003,49.042780,-122.309720,Abbotsford
000101005,49.021506,-122.326556,Abbotsford Airport
000101101,49.156110,-121.940560,Chilliwack
000101202,49.245280,-122.708890,Pitt Meadows
000101301,49.095560,-122.566940,Langley
000101401,49.369720,-121.499440,Hope
000101501,49.215000,-122.581940,Maple Ridge
000101601,49.706400,-123.154400,Squamish
000101801,49.094400,-116.512500,Creston PC School
000102001,48.783300,-123.133300,Saturna
000102102,49.200800,-123.993900,Nanaimo Labieux Road
000102103,49.121700,-123.860000,Harmac Cedar Woodbank
000102601,49.234400,-124.814700,Port Alberni Townsite
000102602,49.260799,-124.805603,Port Alberni Elementary
000103302,49.490800,-117.295300,Nelson Kutenai Place
000103502,49.317501,-117.661697,Castlegar Zinio Park
000104101,49.031100,-118.439200,Grand Forks City Hall
000104801,48.802800,-123.645000,Duncan Deykin Avenue
000105301,49.441700,-123.491700,Langdale Elementary
000105604,49.000000,-119.462500,Osoyoos Canada Customs
000106701,48.875000,-123.650000,Crofton Substation
000107100,49.682499,-124.996101,Courtenay Elementary School
060231004,40.776943,-124.177498,Jacobs
060231005,40.715279,-124.201393,Humboldt Hill
060631007,40.301899,-121.235001,Chester BAM
060890004,40.549700,-122.379200,Redding
060890007,40.453100,-122.297800,Anderson
060890009,40.689400,-122.402400,Shasta Lake City
060893003,40.540300,-121.576400,Lassen Volcanic NP
060932001,41.726790,-122.633590,Yreka
061030004,40.262070,-122.092650,Tuscan Butte (Seasonal)
160010009,43.618889,-116.213611,Boise Fire Station
160010010,43.600699,-116.347853,St. Lukes Meridian
160010014,43.616379,-116.203817,Boise Eastman
160010017,43.577603,-116.178156,White Pine
160010020,43.647888,-116.269409,Garden City
160050004,42.916401,-112.515800,Pocatello STP
160050015,42.876701,-112.460297,Pocatello Garrett and Gould
160050020,42.589833,-112.458889,Shoshone Bannock Tribes
160090010,47.316700,-116.570297,St. Maries
160090011,47.338600,-116.885902,Plummer CDA Tribe
160130004,43.682556,-114.371094,Ketchum
160150001,43.823017,-115.838557,Idaho City
160150002,44.104498,-115.972386,Garden Valley
160170003,48.291821,-116.556557,Sandpoint U of I
160190011,43.468300,-112.053101,Idaho Falls / Penford
160210002,48.705551,-116.368965,Boundary County
160211007,48.998333,-116.359419,Porthill
160211008,48.894014,-116.359419,Mt Hall
160230101,43.460602,-113.562202,Craters of the Moon NM
160270002,43.580310,-116.562676,Nampa Fire Station
160290031,42.695301,-111.593903,Soda Springs Monsanto
160291009,42.651670,-111.614720,Soda Springs Neph
160490002,45.931301,-116.115196,Grangeville
