AQSID,LAT,LONG,NAME
File mon_loc_ap5_asof-20160610.csv, from Jen Hinds June 10, 2016.  JKV
000100060,49.095600,-117.697200,Trail Aquatic Centre
000100110,49.279400,-122.971100,Kensington Park
000100111,49.280830,-122.849170,Rocky Point Park
000100118,49.261670,-123.163330,Kitsilano
000100119,49.215280,-122.985560,Burnaby South
000100125,49.158330,-122.901670,North Delta
000100127,49.132780,-122.694170,Surrey East
000100128,49.141390,-123.108330,Richmond South
000100132,49.323891,-123.083611,Mahon Park
000100134,49.186390,-123.152220,Vancouver Airport
000100135,49.288060,-122.791390,Coquitlam
000100140,49.009869,-123.082017,Tsawwassen
000100304,48.429200,-123.358300,Victoria Topaz
000101003,49.042780,-122.309720,Abbotsford
000101005,49.021506,-122.326556,Abbotsford Airport
000101101,49.156110,-121.940560,Chilliwack
000101202,49.245280,-122.708890,Pitt Meadows
000101301,49.095560,-122.566940,Langley
000101401,49.369720,-121.499440,Hope
000101501,49.215000,-122.581940,Maple Ridge
000101601,49.706400,-123.154400,Squamish
000101801,49.094400,-116.512500,Creston PC School
000102001,48.783300,-123.133300,Saturna
000102102,49.200800,-123.993900,Nanaimo Labieux Road
000103302,49.490800,-117.295300,Nelson Kutenai Place
000104101,49.031100,-118.439200,Grand Forks City Hall
000105301,49.441700,-123.491700,Langdale Elementary
000105604,49.000000,-119.462500,Osoyoos Canada Customs
060631007,40.301899,-121.235001,Chester BAM
060890004,40.549700,-122.379200,Redding
060890007,40.453100,-122.297800,Anderson
060890009,40.689400,-122.402400,Shasta Lake City
060893003,40.540300,-121.576400,Lassen Volcanic NP
061030004,40.262070,-122.092650,Tuscan Butte (Seasonal)
123456789,43.979000,-121.678000,Mt Bachelor non-AIRNow
160010010,43.600699,-116.347853,St. Lukes Meridian
160010017,43.577603,-116.178156,White Pine
160050015,42.876701,-112.460297,Pocatello Garrett-Gould
160050020,42.589833,-112.458889,Shoshone Bannock Tribes
160090010,47.316700,-116.570297,St. Maries
160090011,47.338600,-116.885902,Plummer CDA Tribe
160130004,43.682556,-114.371094,Ketchum
160150001,43.823017,-115.838557,Idaho City
160150002,44.104498,-115.972386,Garden Valley
160170003,48.291821,-116.556557,Sandpoint U of I
160190011,43.468300,-112.053101,Idaho Falls - Penford
160210002,48.705551,-116.368965,Bonners Ferry Kootenai Tr
160230101,43.460602,-113.562202,Craters of the Moon NM
160270002,43.580310,-116.562676,Nampa Fire Station
160410001,42.013333,-111.809160,Franklin
160490002,45.931301,-116.115196,Grangeville
160490003,46.209400,-116.027496,Kamiah-ID
160530003,42.680000,-114.252500,Minidoka Natl Hist Site
160550003,47.788900,-116.804400,Lancaster
160570005,46.728199,-116.954597,Moscow
160590004,45.178699,-113.892998,Salmon PM2.5
160690012,46.408501,-116.991402,Lewiston
160690013,46.397202,-116.806198,Lapwai-ID
160690014,46.334900,-116.535797,Reubens-ID
160790017,47.536712,-116.236867,Pinehurst
160830007,42.565089,-114.494717,Twin Falls PM25
160850002,44.890197,-116.106500,McCall
300130001,47.494318,-111.303317,Great Falls Overlook Park
300290049,48.363694,-114.189272,Columbia Falls
300298001,48.510300,-113.995600,Glacier NP
300310019,45.683765,-111.056282,Bozeman High School
300490004,46.850500,-111.987164,NCORE
300490026,46.658800,-112.013100,Rossiter Pump House
300530018,48.384100,-115.548000,Libby Courthouse
300630024,46.842297,-114.020549,Missoula Boyd Park
300630037,47.012907,-114.224273,French Town - Beckwith
300630038,47.175630,-113.476182,Seeley Elementary School
300810007,46.243621,-114.158889,Hamilton PS 46
300930005,46.002399,-112.500893,Butte Greely School
410010004,44.788220,-117.844600,Baker City - Forest Serv
410030013,44.588400,-123.267300,Corvallis - Circle Blvd.
410050004,45.259280,-122.588151,Portland - Spangler Road
410090004,45.768531,-122.772100,Portland - Sauvie Island
410111036,43.381943,-124.263885,CTCLUSI Radar Hill-OR
410130100,44.299787,-120.844773,Prineville - Davidson Park
410170004,44.292100,-121.555500,Sisters Forest Service
410170120,44.063916,-121.312554,Bend - Pump Station
410190002,43.226600,-123.364790,Roseburg - Garden Valley
410230002,44.417999,-118.951302,John Day Dayton St
410250003,43.589250,-119.048302,Burns - Washington St.
410290019,42.623225,-122.810158,Shady Cove - School
410290133,42.314110,-122.879230,Medford-Grant and Belmont
410290201,42.229891,-122.787700,Talent - Rapp Lane
410330011,42.290094,-123.232100,Provolt - Seed Orchard
410330036,42.161700,-123.648350,Cave Junction Forest Serv
410330114,42.434149,-123.348466,Grants Pass-Parkside Sch
410350004,42.190296,-121.731369,Klamath Falls-Peterson Sc
410370001,42.189215,-120.353969,Lakeview - Center and M
410390059,44.067223,-123.141350,Eugene - Highway 99
410390060,44.026300,-123.083770,Eugene - Amazon Park
410391007,43.834470,-123.035375,Saginaw - Delight Valley
410391009,44.046683,-123.017736,Springfield City Hall
410392013,43.744360,-122.480506,Oakridge-Willamette Centr
410399004,43.799500,-123.053500,Cottage Grove City Shops
410430009,44.615690,-123.091457,Albany - Calapooia School
