"Latitude","Longitude","obs_date","site_code","PM25_mass","Elemental_Carbon","Organic_Carbon","Sulfate","Nitrate","Ammonium"
41.560952,-124.083964,19980114,"060150002",6.2,0.11,0.24,0.122,0.0198,0.050205
41.560952,-124.083964,19980117,"060150002",4.1,0.11,0.373,0.3341,0.0721,0.14151
41.560952,-124.083964,19980121,"060150002",1,0.01,0.262,0.0436,0.0153,0.0197925
41.560952,-124.083964,19980124,"060150002",6,0.01,0.287,0.4856,0.234,0.23475
41.560952,-124.083964,19980128,"060150002",1.5,0.1,0.352,0.1365,0.0455,0.061425
41.560952,-124.083964,19980131,"060150002",1.5,0.05,0.378,0.0984,0.1029,0.0600525
41.560952,-124.083964,19980204,"060150002",3.3,0.02,0.161,0.133,0.0816,0.068235
41.560952,-124.083964,19980207,"060150002",1.7,0.01,0.194,0.1101,0.0392,0.0501075
41.560952,-124.083964,19980211,"060150002",3.1,0.05,0.252,0.1624,0.0973,0.0827925
41.560952,-124.083964,19980214,"060150002",0.4,0.01,0.125,0.1039,0.0251,0.04461
41.560952,-124.083964,19980218,"060150002",0.9,0.01,0.143,0.1013,0.0316,0.0450975
41.560952,-124.083964,19980221,"060150002",2.3,0.006,0.12,0.1454,0.0325,0.0618375
41.560952,-124.083964,19980225,"060150002",2.9,0.01,0.142,0.2925,0.0983,0.131805
41.560952,-124.083964,19980228,"060150002",,0.03,0.202,0.1367,0.0774,0.0686775
41.560952,-124.083964,19980304,"060150002",2.3,0.01,0,0.139,0.0758,0.06918
41.560952,-124.083964,19980307,"060150002",2.5,0.13,0.456,0.451,0.083,0.1878
41.560952,-124.083964,19980311,"060150002",2.2,0.04,0.28,0.2223,0.0802,0.1014075
41.560952,-124.083964,19980314,"060150002",6,0.03,0.476,0.611,0.3307,0.3035325
41.560952,-124.083964,19980318,"060150002",5.2,0.16,0.898,0.6365,0.4902,0.3489825
41.560952,-124.083964,19980321,"060150002",4,0.16,0.88,0.7599,0.1781,0.325035
41.560952,-124.083964,19980325,"060150002",2.7,0.03,0.249,0.4155,0.1741,0.194985
41.560952,-124.083964,19980328,"060150002",2.3,0.04,0.141,0.308,0.0927,0.1363575
41.560952,-124.083964,19980401,"060150002",6.7,0.07,0.367,0.6861,0.3959,0.346365
41.560952,-124.083964,19980404,"060150002",2.4,0.07,0.321,0.4553,0.1488,0.2042175
41.560952,-124.083964,19980408,"060150002",2.8,0.03,0.306,0.3831,0.1564,0.1788525
41.560952,-124.083964,19980411,"060150002",2.9,0.01,0.277,0.4875,0.1145,0.208575
41.560952,-124.083964,19980415,"060150002",4.7,0.05,0.375,0.6239,0.1871,0.27606
41.560952,-124.083964,19980418,"060150002",7.5,0.11,0.704,1.307,0.2891,0.5551725
41.560952,-124.083964,19980422,"060150002",7.1,0.13,1.118,1.0559,0.4782,0.5035575
41.560952,-124.083964,19980425,"060150002",2.2,0.01,0.286,0.2366,0.1188,0.115455
41.560952,-124.083964,19980429,"060150002",5.9,0.17,0.798,1.1793,0.1843,0.483705
41.560952,-124.083964,19980502,"060150002",2.5,0.03,0.424,0.3236,0.1914,0.164415
41.560952,-124.083964,19980506,"060150002",4,0.06,0.378,0.8602,0.1928,0.365955
41.560952,-124.083964,19980509,"060150002",4.8,0.02,0.453,0.7061,0.198,0.3093375
41.560952,-124.083964,19980513,"060150002",4.9,0.03,0.635,0.4981,0.2142,0.2349825
41.560952,-124.083964,19980516,"060150002",1.9,0.06,0.3,0.2856,0.0767,0.1243575
41.560952,-124.083964,19980520,"060150002",2.4,0.05,0.38,0.4551,0.1014,0.1934775
41.560952,-124.083964,19980523,"060150002",3.2,0.1,0.501,,,
41.560952,-124.083964,19980527,"060150002",1.6,0.09,0.374,0.2925,0.0769,0.12699
41.560952,-124.083964,19980530,"060150002",4.7,0.06,0.673,0.4353,0.2604,0.2218275
41.560952,-124.083964,19980603,"060150002",4.4,0.03,0.565,0.6167,0.3005,0.298875
41.560952,-124.083964,19980606,"060150002",5.6,0.16,1.048,1.3961,0.2958,0.5900925
41.560952,-124.083964,19980610,"060150002",3.9,0.002,0.152,0.4321,0.18,0.2025375
41.560952,-124.083964,19980613,"060150002",10.3,0,0.299,1.3398,0.4652,0.607095
41.560952,-124.083964,19980617,"060150002",11.5,0.03,0.655,1.0342,0.5729,0.5167275
41.560952,-124.083964,19980620,"060150002",12.8,0,0.548,1.3984,0.7869,0.7014525
41.560952,-124.083964,19980624,"060150002",1.8,0.002,0.055,0.4646,0.09,0.194475
41.560952,-124.083964,19980627,"060150002",6.9,0.01,0.631,0.5888,0.3372,0.29667
41.560952,-124.083964,19980701,"060150002",3.3,0.03,0.183,0.6408,0.2382,0.293895
41.560952,-124.083964,19980704,"060150002",2.1,0,0.208,0.2754,0.0735,0.1198125
41.560952,-124.083964,19980708,"060150002",1.4,0.04,0.111,0.2571,0.092,0.1171125
41.560952,-124.083964,19980711,"060150002",4.3,0.07,0.362,1.579,0.142,0.624075
41.560952,-124.083964,19980715,"060150002",1.8,0.06,0.623,0.3044,0.108,0.13845
41.560952,-124.083964,19980718,"060150002",1.4,0.06,0.361,0.3085,0.1056,0.1394475
41.560952,-124.083964,19980722,"060150002",2.4,0.06,0.484,0.4968,0.1244,0.21429
41.560952,-124.083964,19980725,"060150002",3.8,0.11,0.915,0.7781,0.2515,0.348375
41.560952,-124.083964,19980729,"060150002",3.6,0.11,0.578,0.8583,0.0739,0.33849
41.560952,-124.083964,19980801,"060150002",5.2,0.05,1.02,0.9078,0.2,0.385425
41.560952,-124.083964,19980805,"060150002",3.2,0.11,0.49,0.9353,0.1826,0.3918225
41.560952,-124.083964,19980808,"060150002",8.8,0.12,1.42,1.8211,0.4516,0.7845225
41.560952,-124.083964,19980812,"060150002",3.4,0.08,0.565,0.632,0.2843,0.3009675
41.560952,-124.083964,19980815,"060150002",2.6,0.002,0.323,0.6995,0.1661,0.299685
41.560952,-124.083964,19980819,"060150002",4.9,0.03,0.536,1.5396,0.4475,0.6780375
41.560952,-124.083964,19980822,"060150002",3,0.13,0.751,1.0139,0.163,0.4168875
41.560952,-124.083964,19980826,"060150002",5.8,0.26,0.989,1.666,0.3174,0.696165
41.560952,-124.083964,19980829,"060150002",2,0.08,0.543,0.5539,0.126,0.2360625
41.560952,-124.083964,19980902,"060150002",5.7,0.33,1.536,0.8827,0.6263,0.47193
41.560952,-124.083964,19980905,"060150002",6.7,0.05,0.476,1.1767,0.6509,0.587715
41.560952,-124.083964,19980916,"060150002",2.6,0.15,0.895,0.5246,0.188,0.239025
41.560952,-124.083964,19980919,"060150002",3.1,0.03,0.712,0.5726,0.2034,0.26049
41.560952,-124.083964,19980923,"060150002",3.4,0.04,0.262,0.7961,0.3468,0.3765675
41.560952,-124.083964,19980926,"060150002",3.4,0,0.498,0.446,0.3286,0.241185
