"#,siteid",lon,lat
060150002,-124.0839,41.5608
060893003,-121.5764,40.5403
060930005,-121.5068,41.7117
061059000,-122.8046,40.7864
160230101,-113.5551,43.4605
160370002,-114.9271,44.1705
300299001,-113.9966,48.5105
300479000,-114.269,47.7734
300499000,-111.7107,46.8262
300779000,-113.1544,47.1222
300819000,-114.0001,45.8598
300899000,-115.6709,47.9549
320079000,-115.4261,41.8926
410050010,-121.7837,45.2888
410330010,-124.0589,42.552
410358001,-122.1361,42.8958
410390070,-122.0434,44.291
410610010,-118.5129,45.2249
410630002,-116.8438,44.9702
530090014,-124.6026175,48.368979
530090013,-124.624321,48.29795
530090020,-122.9727,48.0065
530370004,-121.4259,47.422
530390010,-122.2103,45.5693
530390011,-121.0008,45.6644
530410007,-121.3881,46.6243
530470012,-119.9275,48.3877
530530014,-122.1244,46.7583
530630051,-117.8609,47.9045
530730022,-121.0646,48.7316
160010010,-116.3478258,43.60029
300930005,-112.501247,46.002602
300490004,-111.987164,46.8505
410350004,-121.7313,42.190201
410370001,-120.354027,42.1894
410392013,-122.4806,43.7444
410510080,-122.6028813,45.496675
490110004,-111.885498,40.897999
490353006,-111.871696,40.733501
490494001,-111.7136,40.3414
530110013,-122.586911,45.64830825
530110023,-122.5901,45.64987
530330080,-122.3068913,47.5682325
530530029,-122.4517,47.1864
530611007,-122.1757978,48.055139
530770009,-120.512266,46.595409
