"SiteID","Sitename2","WA_County","Lat","Long","LCC_E_km","LCC_N_km","AP3_XCell","AP3_YCell","AP4_XCell","AP4_YCell"
"060150002","RedwoodNP_IMPROVE","",41.5608,-124.0839,-249.0154601,-794.2465636,8,14,24,37
"060893003","Lassen_Volcanic_IMPROVE","",40.5403,-121.5764,-47.34418439,-908.6759413,25,4,74,9
"060930005","Lava_Beds_IMPROVE","",41.7117,-121.5068,-40.82967915,-782.6882397,26,15,76,40
"061059000","Trinity_IMPROVE","",40.7864,-122.8046,-147.6173599,-880.6904671,17,7,49,16
"160230101","CratersOMoon_IMPROVE","",43.4605,-113.5551,581.4810911,-567.8691266,77,33,231,94
"160370002","Sawtooth_IMPROVE","",44.1705,-114.9271,468.77375,-500.9100326,68,38,203,111
"300299001","Glacier_IMPROVE","",48.5105,-113.9966,499.7116754,-30.77657623,71,77,211,228
"300479000","Flathead_IMPROVE","",47.7734,-114.269,486.9752338,-111.3918601,70,71,208,208
"300499000","GatesOMntns_IMPROVE","",46.8262,-111.7107,683.125885,-193.9413355,86,64,257,188
"300779000","Monture_IMPROVE","",47.1222,-113.1544,574.219011,-173.6712787,77,66,230,193
"300819000","Sula_Peak_IMPROVE","",45.8598,-114.0001,524.3255094,-314.4341732,73,54,217,157
"300899000","Cabinet_Mtns_IMPROVE","",47.9549,-115.6709,384.4226987,-99.57234448,61,72,182,211
"320079000","Jarbidge_IMPROVE","",41.8926,-115.4261,447.341313,-747.7902867,66,18,198,49
"410050010","MtHood_IMPROVE","",45.2888,-121.7837,-59.37671214,-398.3705267,24,47,71,136
"410330010","Kalmiopsis_IMPROVE","",42.552,-124.0589,-242.9281133,-687.8629988,9,23,25,64
"410358001","Crater_Lk_IMPROVE","",42.8958,-122.1361,-89.72028505,-654.9348088,22,25,64,72
"410390070","Three_Sisters_IMPROVE","",44.291,-122.0434,-80.44760857,-505.2385028,22,38,66,110
"410610010","Starkey_IMPROVE","",45.2249,-118.5129,188.61986,-402.5897981,45,46,133,135
"410630002","Hells_Canyon_IMPROVE","",44.9702,-116.8438,316.5309169,-424.6399361,55,45,165,130
"530090014","Neah_Bay_MAKA1_IMPROVE","Clallam_Makah_Tribe",48.368979,-124.6026175,-257.9823,-62.05778,8,75,22,220
"530090013","Cheeka_Peak_MAKA2_IMPROVE","Clallam",48.29795,-124.624321,-259.881,-69.61578,7,74,21,219
"530090020","Olympic_IMPROVE","Clallam",48.0065,-122.9727,-142.2578053,-105.0734136,17,71,50,210
"530370004","Snoqualmie_Pass_IMPROVE","Kittitas",47.422,-121.4259,-31.05009106,-169.5456257,26,66,78,194
"530390010","MtZion_COGO_IMPROVE","Klickitat",45.5693,-122.2103,-91.24071727,-367.8636094,21,49,63,144
"530390011","Wishram_CORI_IMPROVE","Klickitat",45.6644,-121.0008,-0.060209782,-358.3453779,29,50,86,146
"530410007","White_Pass_IMPROVE","Lewis",46.6243,-121.3881,-28.70961224,-255.2275411,27,59,79,172
"530470012","Pasayten_IMPROVE","Okanogan",48.3877,-119.9275,76.79806412,-65.33620767,35,75,105,220
"530530014","MtRainier_IMPROVE","Pierce",46.7583,-122.1244,-82.97276245,-240.3261921,22,60,65,176
"530630051","Spokane_res_IMPROVE","Spokane",47.9045,-117.8609,226.7652961,-113.3415034,48,71,143,208
"530730022","North_Cascades_IMPROVE","Whatcom",48.7316,-121.0646,-4.596084227,-28.86911804,29,78,85,229
"160010010","Meridian","",43.60029,-116.3478258,362.8040517,-569.3713473,59,33,177,94
"300930005","Butte","",46.002602,-112.501247,634.5877608,-288.3272652,82,56,245,164
"300490004","Sieben_Flats","",46.8505,-111.987164,662.589145,-193.6725073,84,64,252,188
"410350004","Klamath_Falls","",42.190201,-121.7313,-58.44596489,-731.1145422,24,19,71,53
"410370001","Lakeview","",42.1894,-120.354027,51.62742869,-731.2592814,33,19,99,53
"410392013","Oakridge","",43.7444,-122.4806,-115.2382274,-563.3770416,19,33,57,95
"410510080","Portland_SEL","",45.496675,-122.6028813,-120.9887783,-375.1374647,19,49,56,142
"490110004","Bountiful","",40.897999,-111.885498,742.6607408,-828.0228181,91,11,272,29
"490353006","Hawthorne","",40.733501,-111.871696,745.7947552,-845.4841331,91,10,272,25
"490494001","Lindon","",40.3414,-111.7136,763.5397655,-885.9308203,93,6,277,15
"530110013","Vancouver_4pln","Clark",45.64830825,-122.586911,-119.4608704,-358.8886529,19,50,56,146
"530110023","Vancouver_NEVancPlz","Clark",45.64987,-122.5901,-119.6976,-358.7163,19,50,56,146
"530330080","Seattle_Beacon_Hill","King",47.5682325,-122.3068913,-95.01823847,-153.1432888,21,67,62,198
"530530029","Tacoma_L","Pierce",47.1864,-122.4517,-106.2892376,-193.9710268,20,64,59,188
"530611007","Marysville","Snohomish",48.055139,-122.1757978,-84.71935682,-100.9765932,22,72,65,211
"530770009","Yakima","Yakima",46.595409,-120.512266,36.09883185,-258.2892234,32,58,95,171
