AQSID|NAME|AGENCY_ID|EPA_REGION|LAT|LONG|GMT_OFFSET|ABS_GMT_OFF
000100060|Trail Aquatic Centre|BC1|CA|49.095600|-117.697200|-8|8.00
000100110|Kensington Park|BC2|CA|49.279400|-122.971100|-8|8.00
000100111|Rocky Point Park|BC2|CA|49.280830|-122.849170|-8|8.00
000100118|Kitsilano|BC2|CA|49.261670|-123.163330|-8|8.00
000100119|Burnaby South|BC2|CA|49.215280|-122.985560|-8|8.00
000100132|Mahon Park|BC2|CA|49.323891|-123.083611|-8|8.00
000100304|Victoria Topaz|BC1|CA|48.429200|-123.358300|-8|8.00
000101003|Abbotsford|BC2|CA|49.042780|-122.309720|-8|8.00
000101005|Abbotsford Airport|BC2|CA|49.021506|-122.326556|-8|8.00
000101101|Chilliwack|BC2|CA|49.156110|-121.940560|-8|8.00
000101301|Langley|BC2|CA|49.095560|-122.566940|-8|8.00
000101601|Squamish|BC1|CA|49.706400|-123.154400|-8|8.00
000101801|Creston PC School|BC1|CA|49.094400|-116.512500|-8|8.00
000102001|Saturna|CN2|CA|48.783300|-123.133300|-8|8.00
000102102|Nanaimo Labieux Road|BC1|CA|49.200800|-123.993900|-8|8.00
000102103|Harmac Cedar Woodbank|BC1|CA|49.121700|-123.860000|-8|8.00
000103302|Nelson Kutenai Place|BC1|CA|49.490800|-117.295300|-8|8.00
000104101|Grand Forks City Hall|BC1|CA|49.031100|-118.439200|-8|8.00
000105301|Langdale Elementary|BC1|CA|49.441700|-123.491700|-8|8.00
000105604|Osoyoos Canada Customs|BC1|CA|49.000000|-119.462500|-8|8.00
060231004|Jacobs|NCA|R9|40.776943|-124.177498|-8|8.00
060231005|Humboldt Hill|NCA|R9|40.715279|-124.201393|-8|8.00
060631007|Chester BAM|NOS|R9|40.301899|-121.235001|-8|8.00
060890004|Redding|SHA|R9|40.549700|-122.379200|-8|8.00
060890007|Anderson|SHA|R9|40.453100|-122.297800|-8|8.00
060890009|Shasta Lake City|SHA|R9|40.689400|-122.402400|-8|8.00
060893003|Lassen Volcanic NP|NP1|USEPA|40.540300|-121.576400|-8|8.00
123456789|Mt Bachelor non-AIRNow|OR1|R10|43.979|-121.687|-8|8:00
160010010|St. Lukes Meridian|ID1|R10|43.600300|-116.347801|-7|7.00
160010017|White Pine|ID1|R10|43.577599|-116.178200|-7|7.00
160050015|Pocatello Garrett and Gould|ID1|R10|42.876701|-112.460297|-7|7.00
160090010|St. Maries|ID1|R10|47.316700|-116.570297|-8|8.00
160090011|Plummer CDA Tribe|ID1|R10|47.338600|-116.885902|-8|8.00
160130004|Ketchum|ID1|R10|43.682556|-114.371094|-7|7.00
160150001|Idaho City|ID1|R10|43.823101|-115.838600|-7|7.00
160150002|Garden Valley|ID1|R10|44.104401|-115.972198|-7|7.00
160170005|Sandpoint USFS|ID1|R10|48.272202|-116.619400|-8|8.00
160190011|Idaho Falls - Penford|ID1|R10|43.468300|-112.053101|-7|7.00
160230101|Craters of the Moon NM|NP3|USEPA|43.460602|-113.562202|-7|7.00
160270002|Nampa Fire Station|ID1|R10|43.580299|-116.562798|-7|7.00
160490002|Grangeville|ID1|R10|45.931301|-116.115196|-8|8.00
160490003|Kamiah-ID|TRX|R8|46.209400|-116.027496|-8|8.00
160550003|Lancaster|ID1|R10|47.788900|-116.804400|-8|8.00
160570005|Moscow|ID1|R10|46.728199|-116.954597|-8|8.00
160590004|Salmon|ID1|R10|45.178699|-113.892998|-7|7.00
160690012|Lewiston|ID1|R10|46.408501|-116.991402|-8|8.00
160690013|Lapwai-ID|TRX|R8|46.397202|-116.806198|-8|8.00
160690014|Reubens-ID|TRX|R8|46.334900|-116.535797|-8|8.00
160790017|Pinehurst|ID1|R10|47.536712|-116.236867|-8|8.00
160830010|Twin Falls|ID1|R10|42.563999|-114.446098|-7|7.00
160850002|McCall|ID1|R10|44.899200|-116.093903|-7|7.00
300298001|Glacier NP|NP3|USEPA|48.510300|-113.995600|-7|7.00
300490026|ROSSITER Pump House|MT1|R8|46.658800|-112.013100|-7|7.00
300530018|Libby Courthouse|MT1|R8|48.384100|-115.548000|-7|7.00
410010004|Baker City - Forest Serv|OR1|R10|44.788200|-117.844597|-8|8.00
410030013|Corvallis - Circle Blvd|OR1|R10|44.588402|-123.263000|-8|8.00
410090004|Portland - Sauvie Island|OR1|R10|45.768600|-122.771896|-8|8.00
410111036|CTCLUSI Radar Hill-OR|TRX|R8|43.381943|-124.263885|0.00
410130100|Prineville-Davidson Park|OR1|R10|44.299599|-120.844704|-8|8.00
410170004|Sisters Forest Service|OR1|R10|44.292099|-121.555496|-8|8.00
410170120|Bend - Pump Station|OR1|R10|44.063900|-121.312500|-8|8.00
410190002|Roseburg - Garden Valley|OR1|R10|43.226639|-123.367203|-8|8.00
410230002|John Day Dayton St|OR1|R10|44.417999|-118.951302|-8|8.00
410250003|Burns - Washington St.|OR1|R10|43.589298|-119.048302|-8|8.00
410290019|Shady Cove - School|OR1|R10|42.623300|-122.810300|-8|8.00
410290133|Medford-Grant and Belmont|OR1|R10|42.314200|-122.879200|-8|8.00
410311034|Warm Springs - OR|TRX|R8|44.763900|-121.269400|-8|8.00
410330011|Provolt - Seed Orchard|OR1|R10|42.289722|-123.232498|-8|8.00
410330036|Cave Junction Forest Service|OR1|R10|42.161701|-123.648399|-8|8.00
410330114|Grants Pass-Parkside Sch|OR1|R10|42.434200|-123.348297|-8|8.00
410350004|Klamath Falls-Peterson Sc|OR1|R10|42.190201|-121.731300|-8|8.00
410370001|Lakeview - Center and M|OR1|R10|42.189400|-120.354027|-8|8.00
410390060|Eugene - Amazon Park|OR2|R10|44.026400|-123.082200|-8|8.00
410391007|Saginaw - Delight Valley|OR2|R10|43.832800|-123.035800|-8|8.00
410392013|Oakridge-Willamette Cnter|OR2|R10|43.744400|-122.480600|-8|8.00
410430009|Albany - Calapooia School|OR1|R10|44.615700|-123.091600|-8|8.00
410432002|Sweet Home - Fire Dept|OR1|R10|44.395800|-122.729900|-8|8.00
410470041|Salem - State Hospital|OR1|R10|44.943100|-123.005913|-8|8.00
410510080|Portland - SE Lafayette|OR1|R10|45.496700|-122.602875|-8|8.00
410590121|Pendleton - McKay Creek|OR1|R10|45.652199|-118.823242|-8|8.00
410610119|La Grande - N. Ash Street|OR1|R10|45.339031|-118.095200|-8|8.00
410630001|Enterprise - USFS|OR1|R10|45.426308|-117.296700|-8|8.00
410650007|The Dalles - Cherry Hts|OR1|R10|45.602402|-121.203354|-8|8.00
410670004|Hillsboro - Hare Field|OR1|R10|45.528530|-122.972443|-8|8.00
410670111|Beaverton - Highland Park|OR1|R10|45.470200|-122.815900|-8|8.00
490030003|Brigham City|UT1|R8|41.492802|-112.018700|-7|7.00
490050004|Logan|UT1|R8|41.731201|-111.837502|-7|7.00
490110004|BV|UT1|R8|40.897999|-111.885498|-6.00
490352004|Beach|UT1|R8|40.735001|-112.210999|-7|7.00
490353006|Hawthorne|UT1|R8|40.733501|-111.871696|-7|7.00
490450003|Tooele|UT1|R8|40.539299|-112.299797|-7|7.00
490490002|North Provo|UT1|R8|40.253502|-111.663200|-7|7.00
490494001|Lindon - Provo|UT1|R8|40.341400|-111.713600|-7|7.00
490570002|Ogden 2|UT1|R8|41.206402|-111.975197|-7|7.00
530010003|Ritzville - Alder St|WA1|R10|47.127998|-118.381897|-8|8.00
530030004|Clarkston - 13th St|WA1|R10|46.425598|-117.059799|-8|8.00
530050002|Kennewick-Metaline|WA1|R10|46.218300|-119.201500|-8|8.00
530070006|Wenatchee-Alaska Way|WA1|R10|47.412200|-120.318300|-8|8.00
